Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Support Associate (Сотрудник службы поддержки),121,до 280 000 KZT до вычета налогов,ТОО Wolt TechnologiesKazakhstan (Вольт Технолоджис Казахстан),Вакансия опубликована 29 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Customer Support;Customer Service;Multitasking;,https://almaty.hh.kz/vacancy/81205008,,
Ресепшионист,40,от 150 000 до 200 000 KZT на руки,ТОО QAZAQ_MOTORS_ALMATY,Вакансия опубликована 25 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Улыбчивость;Корпоративная этика;Грамотность;Русский язык;Казахский язык;Общение с людьми;Работа в команде;Чистоплотность;Работа с ПК;,https://almaty.hh.kz/vacancy/81041583,,
SMM-менеджер,3,от 100 000 до 150 000 KZT на руки,ИП Jumsaq,Вакансия опубликована 24 мая 2023 в Алматы,Алматы,гибкий график,Полная занятость,Креативность;Adobe Photoshop;Canva;SMS маркетинг;Генерация идей;SMM;Продвижение мероприятий компании в социальных сетях;Продвижение в социальных группах;Работа с видео хостерами;Контент;Работа в команде;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80951691,,Менеджмент
Мерчендайзер,77,от 170 000 до 250 000 KZT на руки,ТОО Noblesse Food,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, микрорайон Атырау-3",полный день,Полная занятость,Желание обучаться;Желание работать и развиваться;Работа в команде;Умение работать на результат;Мерчандайзинг;,https://almaty.hh.kz/vacancy/80694249,,
Помощник бухгалтера,18,от 200 000 KZT на руки,ТОО DR Financial Group,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, улица Ауэзова, 175",полный день,Полная занятость,"Бумажный документооборот;Уверенный пользователь ПК;Поддержка работы офиса;Грамотная речь;Обеспечение жизнедеятельности офиса;Работа с оргтехникой;обработка входящей корреспонденции;Обработка исходящей корреспонденции;Опытный пользователь ПК;Работа с большим объемом информации;Знание MS Office;Внимательность, ответственность;Желание учиться и развиваться;Умение легко находить контакт с людьми;Работа в условиях многозадачности;Старательность;Легкообучаемый;",https://almaty.hh.kz/vacancy/80865369,,Финансы
Менеджер по туризму,72,от 200 000 до 2 000 000 KZT на руки,ТОО today.travel UK,Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, улица Курмангазы, 143",полный день,Полная занятость,Клиентоориентированность;Умение работать в команде;Деловая коммуникация;Обучение и развитие;Работа в команде;Навыки межличностного общения;Активные продажи;Статистический анализ;Собеседование;Прямые продажи;Холодные продажи;Деловое общение;Навыки продаж;Холодные звонки;Креативность;Работа с жалобами клиентов;,https://almaty.hh.kz/vacancy/54455733,,
Менеджер контактного центра,40,от 300 000 до 400 000 KZT на руки,ТОО PARTNERS - SM,Вакансия опубликована 23 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80199998,,
"Стажер в отдел логистики, помощник логиста.",67,от 120 000 до 150 000 KZT до вычета налогов,ТОО Le-Trans,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, проспект Абая, 76",полный день,Стажировка,E9,https://almaty.hh.kz/vacancy/81224683,,
Спорт-лидер (Продавец-консультант),40,от 240 000 KZT на руки,ТОО Декатлон РК,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Работа в команде;Ведение переговоров;Грамотная речь;Мерчандайзинг;Розничная торговля;Консультирование клиентов;Клиентоориентированность;Русский — C2 — В совершенстве;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/77475542,,
Менеджер по туризму,72,от 200 000 до 1 500 000 KZT на руки,ТОО ПСН Арбат,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, Жибек Жолы, улица Наурызбай Батыра, 50",полный день,Полная занятость,Навыки продаж;Деловая переписка;Ведение активных клиентов;телефонные продажи;Умение организовать работу;Лояльность;Ответственность и пунктуальность;Высокая трудоспособность;умение организовывать работу и планировать выполнение задач;Достижение результата;Сосредоточенность;Желание работать и развиваться;Продажи физическим лицам;Прямые продажи;Телефонные переговоры;,https://almaty.hh.kz/vacancy/81206465,,
